Latitude,Longitude,Rainfall,GW_Recharge,GW_Extraction,Extraction_Stage_Perc,Prev_GW,GW_Level
23.57333,72.14444,764.9,114939.73,125396.49,114.84,126.6,122.6
23.57333,72.14444,764.9,114939.73,125396.49,114.84,133.0,129.8
23.46972,72.15472,764.9,114939.73,125396.49,114.84,4.4,4.0
23.49508,72.17139,764.9,114939.73,125396.49,114.84,3.7,3.5
23.48917,72.20778,764.9,114939.73,125396.49,114.84,6.8,8.5
23.48917,72.20778,764.9,114939.73,125396.49,114.84,113.4,111.45
23.46889,72.20278,764.9,114939.73,125396.49,114.84,18.3,19.2
23.46659,72.29717,764.9,114939.73,125396.49,114.84,4.96,4.7
23.46667,72.29722,764.9,114939.73,125396.49,114.84,14.6,14.32
23.42,72.3,764.9,114939.73,125396.49,114.84,79.4,77.9
23.5,72.32,764.9,114939.73,125396.49,114.84,69.0,68.2
23.39,72.31,764.9,114939.73,125396.49,114.84,37.95,37.1
23.20639,72.27972,764.9,114939.73,125396.49,114.84,101.02,101.73
23.20639,72.27972,764.9,114939.73,125396.49,114.84,45.11,45.18
23.20056,72.24806,764.9,114939.73,125396.49,114.84,4.5,3.5
23.24056,72.21139,764.9,114939.73,125396.49,114.84,49.05,50.0
23.24056,72.21139,764.9,114939.73,125396.49,114.84,72.3,71.4
23.35111,72.30444,764.9,114939.73,125396.49,114.84,33.2,32.4
23.18056,72.22806,764.9,114939.73,125396.49,114.84,5.6,3.4
23.17667,72.22389,764.9,114939.73,125396.49,114.84,50.6,50.5
23.24722,72.3,764.9,114939.73,125396.49,114.84,3.12,2.34
23.14,72.28,764.9,114939.73,125396.49,114.84,24.2,28.8
23.14,72.28,764.9,114939.73,125396.49,114.84,93.6,95.7
23.16056,72.30806,764.9,114939.73,125396.49,114.84,4.4,2.4
23.23667,72.35111,764.9,114939.73,125396.49,114.84,2.0,1.6
23.2875,72.375,764.9,114939.73,125396.49,114.84,11.87,3.16
23.3,72.41,764.9,114939.73,125396.49,114.84,131.4,119.6
23.1,72.3,764.9,114939.73,125396.49,114.84,95.6,97.0
23.31,72.35,764.9,114939.73,125396.49,114.84,119.5,112.2
23.3,72.35,764.9,114939.73,125396.49,114.84,97.0,98.2
23.18,72.31,764.9,114939.73,125396.49,114.84,105.7,106.8
23.18,72.31,764.9,114939.73,125396.49,114.84,117.7,110.5
23.18,72.31,764.9,114939.73,125396.49,114.84,108.9,110.1
23.38,72.41,764.9,114939.73,125396.49,114.84,138.9,125.9
23.16,72.38,764.9,114939.73,125396.49,114.84,19.3,18.3
23.13981,72.37944,764.9,114939.73,125396.49,114.84,17.3,107.31
23.22,72.41,764.9,114939.73,125396.49,114.84,28.8,27.7
23.89,72.62,764.9,114939.73,125396.49,114.84,52.7,47.2
23.8875,72.6125,764.9,114939.73,125396.49,114.84,13.97,3.83
23.95,72.7,764.9,114939.73,125396.49,114.84,32.8,32.9
23.97944,72.65833,764.9,114939.73,125396.49,114.84,56.6,54.6
23.89,72.49,764.9,114939.73,125396.49,114.84,84.7,84.1
23.89,72.49,764.9,114939.73,125396.49,114.84,143.5,138.6
23.89,72.58,764.9,114939.73,125396.49,114.84,40.9,38.4
23.88972,72.50583,764.9,114939.73,125396.49,114.84,7.9,4.8
23.89167,72.51667,764.9,114939.73,125396.49,114.84,8.23,7.06
23.88194,72.55,764.9,114939.73,125396.49,114.84,7.7,8.1
23.91253,72.65864,764.9,114939.73,125396.49,114.84,40.0,31.5
23.91,72.54,764.9,114939.73,125396.49,114.84,29.6,28.5
23.8607,72.63271,764.9,114939.73,125396.49,114.84,24.0,21.9
23.88863,72.61628,764.9,114939.73,125396.49,114.84,48.06,44.0
23.88763,72.61728,764.9,114939.73,125396.49,114.84,5.69,5.26
23.5975,72.39861,764.9,114939.73,125396.49,114.84,28.31,25.22
23.47,72.35,764.9,114939.73,125396.49,114.84,143.7,135.0
23.62333,72.43528,764.9,114939.73,125396.49,114.84,8.7,6.3
